id	lon	lat	elev
A-3	-77.64103	-8.96617	4720
A-5	-77.64028	-8.96595	4732
A-6	-77.63985	-8.96484	4733
A-7	-77.63894	-8.96501	4747
A-8	-77.63884	-8.96575	4752
A-9	-77.63864	-8.96673	4758
A-10	-77.63802	-8.96677	4767
A-11	-77.63796	-8.96558	4767
A-12	-77.63788	-8.96489	4765
A-13	-77.63724	-8.96488	4773
A-14	-77.63715	-8.96551	4765
A-15	-77.63713	-8.9668	4785
A-16	-77.63624	-8.96692	4794
A-17	-77.63612	-8.96584	4792
A-18	-77.63592	-8.96486	4789
A-19	-77.63459	-8.96498	4801
A-20	-77.6346	-8.96586	4803
A-21	-77.63461	-8.96682	4812
A-22	-77.63342	-8.96675	4829
A-23	-77.63344	-8.96582	4825
A-24	-77.63334	-8.9647	4817
